City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
mehamn,71.0357,27.8492,282.12,76,20,2.57
teknaf,20.8624,92.3058,298.85,95,100,10.5
berezovyy,51.6667,135.7,292.01,98,100,0.57
nong chik,6.8436,101.178,299.52,83,86,4.21
high rock,26.6208,-78.2833,304.16,73,5,4.6
awbari,26.5921,12.7805,310.39,12,0,4.46
nirgua,10.1553,-68.5663,300.8,70,94,2.62
barabai,-2.5833,115.3833,296.4,87,1,0.82
boa esperanca,-21.09,-45.5658,298.4,25,0,2.76
sereflikochisar,38.9393,33.5386,302.26,24,44,4.1
bull savanna,17.8868,-77.5902,301.98,67,89,4.76
xiantao,30.3833,113.4,298.79,88,0,2.69
requena,39.4883,-1.1004,295.09,60,70,5.03
balkanabat,39.5108,54.3671,304.9,56,2,5.12
zaykovo,57.5613,62.7568,288.04,64,100,2.48
sioux lookout,50.1001,-91.917,296.19,53,75,4.12
sisimiut,66.9395,-53.6735,286.85,61,100,5.24
gidam,18.9833,81.4,297.66,88,87,1.94
erdenet,49.0333,104.0833,286.66,76,58,0.09
hasaki,35.7333,140.8333,295.55,90,100,14.04
waddan,29.1614,16.139,308.25,18,0,5.22
balabac,7.9868,117.0645,302.05,78,100,6.0
aswan,24.0934,32.907,312.1,11,6,5.07
porto novo,6.4965,2.6036,300.05,65,83,5.11
marmora,44.4583,7.094,293.18,64,81,2.54
melfort,52.8667,-104.6177,293.22,60,100,2.57
dzhebariki-khaya,62.2167,135.8,288.07,77,9,2.36
maragogi,-9.0122,-35.2225,298.94,76,14,4.83
saint anthony,45.0205,-93.218,302.61,56,1,1.34
chiriguana,9.3624,-73.6031,305.96,50,50,1.86
coihaique,-45.5752,-72.0662,280.11,53,20,0.0
paramirim,-13.4425,-42.2389,302.72,28,0,2.54
levelland,33.5873,-102.378,303.26,36,75,1.81
uruguaiana,-29.7547,-57.0883,290.11,94,90,6.69
necochea,-38.5473,-58.7368,283.17,49,5,11.04
mabaruma,8.2,-59.7833,304.36,58,30,2.46
srednekolymsk,67.45,153.6833,277.17,78,51,3.53
saint-leu,-21.15,55.2833,292.89,72,28,4.72
maceio,-9.6658,-35.7353,300.84,65,75,6.17
jalu,29.0331,21.5482,308.2,18,0,4.65
hervey bay,-25.2986,152.8535,284.28,74,35,2.57
bagdarin,54.4333,113.6,286.53,80,27,1.62
mae hong son,19.3003,97.9685,296.47,99,100,1.06
maarianhamina,60.0973,19.9348,298.07,44,0,3.09
kysyl-syr,63.8986,122.7617,293.72,72,26,3.25
nioki,-2.7167,17.6833,308.86,19,75,1.34
nalvo,16.8096,120.5108,296.42,90,100,2.38
tabou,4.423,-7.3528,298.96,71,64,5.03
kango,0.1943,10.0951,302.48,57,93,3.91
medak,18.0333,78.2667,300.74,80,49,4.96
kaseda,31.4167,130.3167,297.82,88,68,2.81
tual,-5.6667,132.75,299.75,75,79,8.2
vila velha,-20.3297,-40.2925,298.69,59,40,5.66
fernley,39.608,-119.2518,301.72,19,73,2.13
zhiryatino,53.2228,33.7306,300.33,62,10,1.16
turinsk,58.0458,63.696,288.16,57,98,2.56
nongan,44.382,125.1685,298.38,80,82,3.84
comodoro rivadavia,-45.8667,-67.5,281.07,39,0,7.72
uddevalla,58.3478,11.9424,296.74,94,96,0.83
